zone_id,jurisdiction_id,jurisdiction_name,zone_code,zone_name,category,min_lot_size_sf,min_lot_width_ft,max_density_dua,max_far,max_lot_coverage_pct,max_height_ft,max_stories,front_setback_ft,side_setback_ft,rear_setback_ft,parking_ratio,source_doc,source_citation,source_page,provenance,confidence,human_verified,notes
az-apache-junction:rs-10,az-apache-junction,City of Apache Junction,RS-10,Medium Density Single-Family Detached Residential,residential,10000,70,4.36,TBD,40,30,TBD,20,10,20,,az-apache-junction-zoning,"LDC Vol. II, Ch. 1, Table 4-1; Table 5-2; Table 5-1",,official-html,extracted,,"Min lot area per dwelling unit 10,000 sf (net). Conventional housing only. Table 5-2 column RS-10 & RS-10M."
az-apache-junction:rs-10m,az-apache-junction,City of Apache Junction,RS-10M,Medium Density Single-Family Detached Residential (Manufactured),residential,10000,70,4.36,TBD,40,30,TBD,20,10,20,,az-apache-junction-zoning,"LDC Vol. II, Ch. 1, Table 4-1; Table 5-2; Table 5-1",,official-html,extracted,,"Min lot area per dwelling unit 10,000 sf (net). Allows conventional and manufactured housing. Shares Table 5-2 column with RS-10."
az-apache-junction:rs-20,az-apache-junction,City of Apache Junction,RS-20,Medium Density Single-Family Detached Residential,residential,20000,80,2.18,TBD,30,35,TBD,25,10,20,,az-apache-junction-zoning,"LDC Vol. II, Ch. 1, Table 4-1; Table 5-2; Table 5-1",,official-html,extracted,,"Min lot area per dwelling unit 20,000 sf (net). Conventional housing only. Table 5-2 column RS-20 & RS-20M."
az-apache-junction:rs-20m,az-apache-junction,City of Apache Junction,RS-20M,Medium Density Single-Family Detached Residential (Manufactured),residential,20000,80,2.18,TBD,30,35,TBD,25,10,20,,az-apache-junction-zoning,"LDC Vol. II, Ch. 1, Table 4-1; Table 5-2; Table 5-1",,official-html,extracted,,"Min lot area per dwelling unit 20,000 sf (net). Allows conventional and manufactured housing. Shares Table 5-2 column with RS-20."
az-apache-junction:rs-5,az-apache-junction,City of Apache Junction,RS-5,Medium/High Density Single-Family Detached Residential,residential,5000,50,8.71,TBD,60,30,TBD,20,7,15,,az-apache-junction-zoning,"LDC Vol. II, Ch. 1, Table 4-1; Table 5-2; Table 5-1",,official-html,extracted,,"Min lot area per dwelling unit 5,000 sf (net). Conventional housing only."
az-apache-junction:rs-54,az-apache-junction,City of Apache Junction,RS-54,Low Density Single-Family Detached Residential,residential,54450,100,0.8,TBD,20,35,TBD,30,10,30,,az-apache-junction-zoning,"LDC Vol. II, Ch. 1, Table 4-1; Table 5-2; Table 5-1",,official-html,extracted,,"Min lot 1.25 acres (54,450 sf) gross land area. Conventional housing only. Table 5-2 column RS-54 & RS-54M."
az-apache-junction:rs-54m,az-apache-junction,City of Apache Junction,RS-54M,Low Density Single-Family Detached Residential (Manufactured),residential,54450,100,0.8,TBD,20,35,TBD,30,10,30,,az-apache-junction-zoning,"LDC Vol. II, Ch. 1, Table 4-1; Table 5-2; Table 5-1",,official-html,extracted,,"Min lot 1.25 acres (54,450 sf) gross. Allows conventional and manufactured housing. Shares Table 5-2 column with RS-54."
az-apache-junction:rs-7,az-apache-junction,City of Apache Junction,RS-7,Medium/High Density Single-Family Detached Residential,residential,7000,60,6.22,TBD,50,30,TBD,20,7,20,,az-apache-junction-zoning,"LDC Vol. II, Ch. 1, Table 4-1; Table 5-2; Table 5-1",,official-html,extracted,,"Min lot area per dwelling unit 7,000 sf (net). Conventional housing only. Table 5-2 column RS-7 & RS-7M."
az-apache-junction:rs-7m,az-apache-junction,City of Apache Junction,RS-7M,Medium/High Density Single-Family Detached Residential (Manufactured),residential,7000,60,6.22,TBD,50,30,TBD,20,7,20,,az-apache-junction-zoning,"LDC Vol. II, Ch. 1, Table 4-1; Table 5-2; Table 5-1",,official-html,extracted,,"Min lot area per dwelling unit 7,000 sf (net). Allows conventional and manufactured housing. Shares Table 5-2 column with RS-7."
az-apache-junction:rs-gr,az-apache-junction,City of Apache Junction,RS-GR,General Rural Low Density Single-Family Detached Residential,residential,54450,100,0.8,TBD,30,35,TBD,40,20,40,,az-apache-junction-zoning,"LDC Vol. II, Ch. 1, Table 4-1; Table 5-2; Table 5-1",,official-html,extracted,,"Min lot 1.25 acres (54,450 sf) as gross land area (footnote 1). Density 0.80 du/ac on gross land. Source reached via American Legal HTML (browser UA; WebFetch 403)."
az-apache-junction:rvp,az-apache-junction,City of Apache Junction,RVP,Recreational Vehicle Park,residential,435600,30,20,TBD,TBD,15,TBD,3,3,5,,az-apache-junction-zoning,"LDC Vol. II, Ch. 1, Table 4-1; Table 5-2; Table 5-1",,official-html,extracted,,"Max density 20 du/ac; min development parcel 10 acres (435,600 sf). Min lot width 30 ft per space; setbacks per-space. Coverage NA. Min lot area per DU 2,178 sf. See Vol. II 1-9-3."
az-avondale:a-1,az-avondale,City of Avondale,A-1,General Industrial,industrial,TBD,TBD,TBD,TBD,TBD,45,TBD,30,10,10,,az-avondale-zoning,Sec. 28-75(d),,official-html,extracted,,Employment/industrial district. Max height 45. Max building coverage not specified. Street side setback 30. Setback adjacent to residential = 75 ft. No min lot width/depth in table.
az-avondale:ag,az-avondale,City of Avondale,AG,Agricultural,agricultural,217800,200,TBD,TBD,15,30,TBD,40,20,40,,az-avondale-zoning,Sec. 28-35(A) Single-family districts development standards table,,official-html,extracted,,"Reachable via api.municode.com (jobId 491105, productId 13755). Min net site area 5 ac (217,800 sf). Front may reduce 5 ft with side-entry garage. Min total both sides 40; single side 20 (binding scalar). Street side 40. Min lot depth 200 ft."
az-avondale:c-1,az-avondale,City of Avondale,C-1,Neighborhood Commercial,commercial,TBD,TBD,TBD,TBD,TBD,30,TBD,20,15,20,,az-avondale-zoning,Sec. 28-56(e),,official-html,extracted,,"Min lot width, site depth, and coverage = 'None' (no minimum). Street setback 20; parking setback 30. Setback from residential = 1 ft per 1 ft height. Max accessory height 15."
az-avondale:c-2,az-avondale,City of Avondale,C-2,Community Commercial,commercial,TBD,TBD,TBD,TBD,TBD,30,TBD,20,15,20,,az-avondale-zoning,Sec. 28-56(e),,official-html,extracted,,"Min lot width, site depth, and coverage = 'None'. Street setback 20; parking setback 30. Setback from residential = 50 ft. Max accessory height 15."
az-avondale:c-3,az-avondale,City of Avondale,C-3,Freeway Commercial,commercial,TBD,TBD,TBD,TBD,TBD,40,TBD,20,20,20,,az-avondale-zoning,Sec. 28-56(e),,official-html,extracted,,"Min lot width, site depth, and coverage = 'None'. Max height 40. Street setback 20; parking setback 30. Setback from residential = 100 ft. Max accessory height 15."
az-avondale:c-o,az-avondale,City of Avondale,C-O,Commercial Office,commercial,TBD,60,TBD,TBD,35,30,TBD,20,15,20,,az-avondale-zoning,Sec. 28-56(e),,official-html,extracted,,Min lot width 60. Min site depth 100. Max coverage 35%. Street setback 20; parking setback 20; interior setback 15. Setback from residential = 1 ft per 1 ft height. Max accessory height 15.
az-avondale:cp,az-avondale,City of Avondale,CP,Commerce Park,industrial,TBD,TBD,TBD,TBD,50,35,TBD,25,15,15,,az-avondale-zoning,Sec. 28-75(d) Employment districts development standards table,,official-html,extracted,,Employment district. Max height 35. Max building coverage 50%. Street side setback 25. Setback adjacent to residential = 50 ft. No min lot width/depth in table.
az-avondale:mh,az-avondale,City of Avondale,MH,Manufactured Home Park,residential,435600,50,7,TBD,60,30,TBD,TBD,5,TBD,,az-avondale-zoning,Sec. 28-37(c) MH District development standards,,official-html,extracted,,"Min park/subdivision 10 ac (435,600 sf). Max 7 units per acre. MH rental space min 50x70 ft; SF lot min 40x70 (50 shown as binding min width). Max coverage 60%. Height 30. Side 5; 10 ft between SF units, 20 ft between MH. No conventional front/rear; perimeter setback 15 ft (25 adjoining public street). Min 15% open space."
az-avondale:r-2,az-avondale,City of Avondale,R-2,Multi-Family Residential R-2,residential,TBD,50,8,TBD,45,30,TBD,20,15,15,,az-avondale-zoning,Sec. 28-35(B) Multi-family districts development standards table,,official-html,extracted,,"Density derived: 1 unit per 5,445 sf net site area = 8.0 du/ac. No explicit min lot size (density-based). Min lot depth 100. Side 15 (0 for common walls; 15 binding scalar). Street side 20. SF detached in MF districts must meet R1-6 standards."
az-avondale:r-3,az-avondale,City of Avondale,R-3,Multi-Family Residential R-3,residential,TBD,50,12,TBD,45,30,TBD,25,15,15,,az-avondale-zoning,Sec. 28-35(B),,official-html,extracted,,"Density derived: 1 unit per 3,630 sf = 12.0 du/ac. No explicit min lot size. Min lot depth 100. Side 15 (0 for common walls). Street side 20."
az-avondale:r-4,az-avondale,City of Avondale,R-4,Multi-Family Residential R-4,residential,TBD,50,30,TBD,50,45,TBD,25,15,15,,az-avondale-zoning,Sec. 28-35(B),,official-html,extracted,,"Density derived: 1 unit per 1,452 sf = 30.0 du/ac. No explicit min lot size. Min lot depth 100. Max height 45 ft. Front/street side 25 (may reduce to 8 for units fronting residential street with direct sidewalk access). Side 15 (0 common walls)."
az-avondale:r-o,az-avondale,City of Avondale,R-O,Residential Office,commercial,TBD,45,TBD,TBD,35,30,TBD,20,20,20,,az-avondale-zoning,Sec. 28-56(e) Commercial development standards table,,official-html,extracted,,Min lot width 45. Min site depth 100. Max coverage 35%. Street setback 20; parking setback 10; interior setback 15. Setback from residential = 1 ft per 1 ft building height. Max accessory height 15.
az-avondale:r1-10,az-avondale,City of Avondale,R1-10,Suburban Residential R1-10,residential,10000,90,TBD,TBD,40,30,TBD,25,10,20,,az-avondale-zoning,Sec. 28-35(A),,official-html,extracted,,"Min net site area 10,000 sf. Min lot depth 110. Single side 10 (total both 20). Street side 10."
az-avondale:r1-15,az-avondale,City of Avondale,R1-15,Suburban Residential R1-15,residential,15000,115,TBD,TBD,20,30,TBD,35,15,30,,az-avondale-zoning,Sec. 28-35(A),,official-html,extracted,,"Min net site area 15,000 sf. Min lot depth 120. Single side 15 (total both 30). Street side 20."
az-avondale:r1-35,az-avondale,City of Avondale,R1-35,Suburban Residential R1-35,residential,35000,140,TBD,TBD,15,30,TBD,40,20,35,,az-avondale-zoning,Sec. 28-35(A),,official-html,extracted,,"Min net site area 35,000 sf. Min lot depth 175. Single side 20 (total both 40). Street side 25."
az-avondale:r1-5,az-avondale,City of Avondale,R1-5,Urban Residential R1-5,residential,5000,50,TBD,TBD,45,30,TBD,20,10,15,,az-avondale-zoning,Sec. 28-35(A),,official-html,extracted,,"Min net site area 5,000 sf. Min lot depth 100. Single side per table 10/0 (0 permitted with 10 ft separation between buildings) - 10 shown as binding scalar; total both 15. Street side 10."
az-avondale:r1-6,az-avondale,City of Avondale,R1-6,Urban Residential R1-6,residential,6000,65,TBD,TBD,45,30,TBD,20,8,15,,az-avondale-zoning,Sec. 28-35(A),,official-html,extracted,,"Min net site area 6,000 sf. Min lot depth 100. Single side 8 (total both 18). Street side 10."
az-avondale:r1-7,az-avondale,City of Avondale,R1-7,Urban Residential R1-7,residential,7000,70,TBD,TBD,45,30,TBD,20,8,15,,az-avondale-zoning,Sec. 28-35(A),,official-html,extracted,,"Min net site area 7,000 sf. Min lot depth 110. Single side 8 (total both 18). Street side 10."
az-avondale:r1-8,az-avondale,City of Avondale,R1-8,Suburban Residential R1-8,residential,8000,80,TBD,TBD,45,30,TBD,25,8,20,,az-avondale-zoning,Sec. 28-35(A),,official-html,extracted,,"Min net site area 8,000 sf. Min lot depth 110. Single side 8 (total both 18). Street side 10."
az-avondale:rr-18,az-avondale,City of Avondale,RR-18,Rural Residential RR-18,residential,18000,120,TBD,TBD,30,30,TBD,25,15,30,,az-avondale-zoning,Sec. 28-35(A),,official-html,extracted,,"Min net site area 18,000 sf. Min lot depth 150. Single side 15 (total both 30). Street side 20."
az-avondale:rr-43,az-avondale,City of Avondale,RR-43,Rural Residential RR-43,residential,43000,150,TBD,TBD,15,30,TBD,40,20,35,,az-avondale-zoning,Sec. 28-35(A),,official-html,extracted,,"Min net site area 43,000 sf (per code table, not 43,560). Single side 20 (binding scalar; total both 40). Street side 25."
az-buckeye:ag,az-buckeye,City of Buckeye,AG,Agricultural,agricultural,435600,300,TBD,TBD,25,35,TBD,40,40,40,,az-buckeye-zoning,Table 4.1-1 Dimensional Standards - Rural and Residential Districts,143,official-pdf,extracted,,"Density not specified (-). Lot 435,600 sf (10 ac). Lot Coverage note [7]: max does not apply to greenhouse structures. Front-loaded garage setback 40 ft per note [2]."
az-buckeye:bp,az-buckeye,City of Buckeye,BP,Business Park District,commercial,217800,TBD,TBD,TBD,TBD,50,TBD,25,TBD,TBD,,az-buckeye-zoning,Table 4.1-3 Dimensional Standards - Nonresidential and Other Districts,147,official-pdf,extracted,,"District size minimum 5 ac (217,800 sf). Front/streetside 25 ft (setback from peripheral property line). Side/rear values ambiguous due to PDF column wrapping (75 ft adjacent residential per text) - set TBD pending verification. Max height 50 ft."
az-buckeye:c-1,az-buckeye,City of Buckeye,C-1,Neighborhood Commercial,commercial,TBD,TBD,TBD,TBD,TBD,30,TBD,15,30,30,,az-buckeye-zoning,Table 4.1-3 Dimensional Standards - Nonresidential and Other Districts,147,official-pdf,extracted,,District size minimum not specified (-). Front/streetside 15. Side/rear 30 ft adjacent residential (30 used). Max height 30 ft.
az-buckeye:c-2,az-buckeye,City of Buckeye,C-2,Community Commercial,commercial,TBD,TBD,TBD,TBD,TBD,50,TBD,20,50,50,,az-buckeye-zoning,Table 4.1-3 Dimensional Standards - Nonresidential and Other Districts,147,official-pdf,extracted,,District size minimum not specified (-). Front/streetside 20. Side/rear 50 ft adjacent residential (50 used). Max height 50 ft.
az-buckeye:c-3,az-buckeye,City of Buckeye,C-3,Regional Commercial,commercial,653400,TBD,TBD,TBD,TBD,90,TBD,30,80,80,,az-buckeye-zoning,Table 4.1-3 Dimensional Standards - Nonresidential and Other Districts,147,official-pdf,extracted,,"District size minimum 15 ac (653,400 sf). Front/streetside 30. Side/rear 80 ft adjacent residential (80 used). Max height 90 ft."
az-buckeye:cmu,az-buckeye,City of Buckeye,CMU,Community Mixed-Use,mixed-use,217800,TBD,15,TBD,TBD,90,TBD,20,TBD,TBD,,az-buckeye-zoning,Table 4.1-2 Dimensional Standards - Mixed-Use Districts,145,official-pdf,extracted,,"Residential density max 15.0 du/gross acre. Lot size = min district size 5.0 ac (217,800 sf), not per-lot. Front/streetside is a MAXIMUM of 20 ft (build-to). Side/rear not specified (-)."
az-buckeye:dc,az-buckeye,City of Buckeye,DC,Downtown Commercial,downtown,TBD,TBD,TBD,TBD,TBD,60,TBD,TBD,TBD,TBD,,az-buckeye-zoning,Table 4.1-2 Dimensional Standards - Mixed-Use Districts,145,official-pdf,extracted,,Residential density 'No maximum'. Lot size not specified (-). Front/streetside setback 'Refer to Section 5.13.4.H'. Side/rear not specified (-). Max height 60 ft.
az-buckeye:dr,az-buckeye,City of Buckeye,DR,Downtown Residential,downtown,TBD,TBD,15,TBD,TBD,40,TBD,TBD,TBD,5,,az-buckeye-zoning,Table 4.1-2 Dimensional Standards - Mixed-Use Districts,145,official-pdf,extracted,,Residential density max 15.0 du/gross acre. Lot size not specified (-). Front/streetside 'Refer to Section 5.13.4.H'. Side not specified (-). Rear 5 ft. Max height 40 ft.
az-buckeye:i-1,az-buckeye,City of Buckeye,I-1,Light Industrial District,industrial,653400,TBD,TBD,TBD,TBD,120,TBD,20,20,20,,az-buckeye-zoning,Table 4.1-3 Dimensional Standards - Nonresidential and Other Districts,147,official-pdf,extracted,,"District size 15 ac (653,400 sf). Front 50 ft adjacent residential / 40 arterial / 20 else (20 used). Side 75 ft adjacent residential / 0 rail / 20 else (20 used). Rear same (20). Height 55 ft at setback, +1 ft per 3 ft added setback up to 120 ft max."
az-buckeye:i-2,az-buckeye,City of Buckeye,I-2,Heavy Industrial District,industrial,653400,TBD,TBD,TBD,TBD,120,TBD,20,20,20,,az-buckeye-zoning,Table 4.1-3 Dimensional Standards - Nonresidential and Other Districts,147,official-pdf,extracted,,"District size 15 ac (653,400 sf). Front 50 ft arterial / 20 else (20 used). Side 200 ft adjacent residential / 0 rail / 20 else (20 used). Rear same (20). Height 65 ft at setback, +1 ft per 3 ft added setback up to 120 ft max."
az-buckeye:imu,az-buckeye,City of Buckeye,IMU,Industrial Mixed-Use,mixed-use,653400,TBD,TBD,TBD,TBD,120,TBD,20,20,20,,az-buckeye-zoning,Table 4.1-2 Dimensional Standards - Mixed-Use Districts,145,official-pdf,extracted,,"Residential density not specified (-). Lot size '15 ac unless converted from GC' (653,400 sf). Front 40 ft adjacent arterial, else 20 (20 used). Side 75 ft adjacent residential, 0 adjacent rail, else 20 (20 used). Rear same (20). Height 55 ft at setback, +1 ft per 3 ft added setback up to 120 ft max (120 = ceiling)."
az-buckeye:mf-1,az-buckeye,City of Buckeye,MF-1,Multi-Family 1,residential,TBD,TBD,15,TBD,TBD,40,TBD,15,0,15,,az-buckeye-zoning,Table 4.1-1 Dimensional Standards - Rural and Residential Districts,143,official-pdf,extracted,,"Density 15.0 du/gross acre. Lot size/width/coverage not specified (-). Side setback '0 with 10 aggregate', note [6]. Front-loaded garage setback 20 ft."
az-buckeye:mf-2,az-buckeye,City of Buckeye,MF-2,Multi-Family 2,residential,TBD,TBD,TBD,TBD,TBD,60,TBD,0,0,10,,az-buckeye-zoning,Table 4.1-1 Dimensional Standards - Rural and Residential Districts,143,official-pdf,extracted,,Density 'No max; 15.1 min' (no maximum; 15.1 du/gross acre minimum). Lot size/width/coverage not specified (-). Front-loaded garage setback 20 ft.
az-buckeye:mh,az-buckeye,City of Buckeye,MH,Mobile Home/RV Park,residential,4500,35,8,TBD,40,30,TBD,20,5,10,,az-buckeye-zoning,Table 4.1-1 Dimensional Standards - Rural and Residential Districts,143,official-pdf,extracted,,"Density 8.0 du/gross acre. Lot size two values: 4,500 sf (MH) / 1,500 sf (RV); 4,500 used as minimum."
az-buckeye:nmu,az-buckeye,City of Buckeye,NMU,Neighborhood Mixed-Use,mixed-use,TBD,TBD,10,TBD,TBD,50,TBD,TBD,TBD,TBD,,az-buckeye-zoning,Table 4.1-2 Dimensional Standards - Mixed-Use Districts,145,official-pdf,extracted,,Residential density max 10.0 du/gross acre. Lot size and all setbacks not specified (-) in table.
az-buckeye:po,az-buckeye,City of Buckeye,PO,Professional Office,commercial,TBD,TBD,TBD,TBD,TBD,90,TBD,10,10,20,,az-buckeye-zoning,Table 4.1-3 Dimensional Standards - Nonresidential and Other Districts,147,official-pdf,extracted,,"District size minimum not specified (-). Front/streetside 10, side 10. Rear 20 ft adjacent residential (20 used). Max height 90 ft."
az-buckeye:r1-1,az-buckeye,City of Buckeye,R1-1,Residential 1,residential,1000,20,TBD,TBD,TBD,45,TBD,0,0,8,,az-buckeye-zoning,Table 4.1-1 Dimensional Standards - Rural and Residential Districts,143,official-pdf,extracted,,"Density and lot coverage not specified (-). Side setback '0 with 5 aggregate', note [6]. Front-loaded garage setback 20 ft."
az-buckeye:r1-10,az-buckeye,City of Buckeye,R1-10,Single-Family Residential 10,residential,10000,80,TBD,TBD,TBD,35,TBD,20,10,25,,az-buckeye-zoning,Table 4.1-1 Dimensional Standards - Rural and Residential Districts,143,official-pdf,extracted,,Density and lot coverage not specified (-). Front-loaded garage setback 20 ft.
az-buckeye:r1-18,az-buckeye,City of Buckeye,R1-18,Single-Family Residential 18,residential,18000,100,TBD,TBD,TBD,35,TBD,25,15,30,,az-buckeye-zoning,Table 4.1-1 Dimensional Standards - Rural and Residential Districts,143,official-pdf,extracted,,Density and lot coverage not specified (-). Front-loaded garage setback 25 ft.
az-buckeye:r1-3,az-buckeye,City of Buckeye,R1-3,Single-Family Residential 3,residential,3000,30,TBD,TBD,TBD,45,TBD,12,5,10,,az-buckeye-zoning,Table 4.1-1 Dimensional Standards - Rural and Residential Districts,143,official-pdf,extracted,,Density and lot coverage not specified (-). Side setback note [6]: may be reduced to zero with zero aggregate for single-family attached. Front-loaded garage setback 20 ft.
az-buckeye:r1-43,az-buckeye,City of Buckeye,R1-43,Single-Family Residential 43,residential,43000,140,TBD,TBD,30,35,TBD,40,20,30,,az-buckeye-zoning,Table 4.1-1 Dimensional Standards - Rural and Residential Districts,143,official-pdf,extracted,,Density not specified (-). Front-loaded garage setback 40 ft per note [2].
az-buckeye:r1-6,az-buckeye,City of Buckeye,R1-6,Single-Family Residential 6,residential,6000,55,TBD,TBD,TBD,35,TBD,12,0,20,,az-buckeye-zoning,Table 4.1-1 Dimensional Standards - Rural and Residential Districts,143,official-pdf,extracted,,Density and lot coverage not specified (-). Side setback '0 with 10 aggregate' (recorded 0). Front-loaded garage setback 20 ft.
az-buckeye:rmu,az-buckeye,City of Buckeye,RMU,Regional Mixed-Use,mixed-use,653400,TBD,TBD,TBD,TBD,TBD,TBD,20,TBD,TBD,,az-buckeye-zoning,Table 4.1-2 Dimensional Standards - Mixed-Use Districts,145,official-pdf,extracted,,"Residential density 'No max; >15.0 min'. Lot size = min district size 15.0 ac (653,400 sf). Front/streetside MAXIMUM 20 ft. Height 'Minimum 40; No maximum' - no max established (TBD). Side/rear not specified (-)."
az-carefree:c,az-carefree,Town of Carefree,C,Commercial Zoning District,commercial,6000,60,TBD,TBD,60,30,TBD,10,0,0,,az-carefree-zoning,"Zoning Ordinance Ch. 16, Art. VI, Sec. 6.01, Table 6.1",,official-html,extracted,,"Height per footnote (2) = 30 ft. Min lot area 6,000 sf. Side yard min 0, rear yard min 0 per Table 6.1 (footnote (5) on rear). Coverage = max area under roof. Source via American Legal render-doc API."
az-carefree:go,az-carefree,Town of Carefree,GO,Garden Office Zoning District,commercial,35000,145,TBD,TBD,25,30,TBD,40,20,40,,az-carefree-zoning,"Zoning Ordinance Ch. 16, Art. VI, Sec. 6.01, Table 6.1",,official-html,extracted,,Height per footnote (2) = 30 ft. Coverage = max area under roof. No min lot area per DU (N/A). Source via American Legal render-doc API.
az-carefree:l,az-carefree,Town of Carefree,L,Lodging,commercial,43560,145,TBD,TBD,60,30,TBD,25,10,25,,az-carefree-zoning,"Zoning Ordinance Ch. 16, Art. VI, Sec. 6.01, Table 6.1",,official-html,extracted,,Height per footnote (2) = 30 ft. Coverage = max area under roof. No min lot area per DU (N/A). Source via American Legal render-doc API.
az-carefree:os-r,az-carefree,Town of Carefree,OS-R,Open Space-Recreation Zoning District,open-space,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,,az-carefree-zoning,"Zoning Ordinance Ch. 16, Art. V, Sec. 5.03",,official-html,extracted,,"OS-R is NOT in the Sec. 6.01 Table 6.1 intensity schedule. Per Sec. 5.03, OS-R has no numeric dimensional standards; development requires an approved master open space development plan (Town Council). All dimensional standards TBD. Source via American Legal render-doc API."
az-carefree:r-3,az-carefree,Town of Carefree,R-3,Multiple-Family Residential Zoning District,residential,43560,145,TBD,TBD,50,24,TBD,25,10,25,,az-carefree-zoning,"Zoning Ordinance Ch. 16, Art. VI, Sec. 6.01, Table 6.1",,official-html,extracted,,"Min lot area 43,560 sf; min lot area per DU 6,000 sf (lot-area-per-DU, not dua, so max_density_dua=TBD). Height 24 ft (note 1; (1)(G) allows certain roof screen-walls). Coverage = max area under roof. Source via American Legal render-doc API."
